"municipality" "state" "obras" "region" "ibge_code7" "dsu_inf" "dsu_cre" "dsu_pre" "dsu_fun" "dsu_ai" "dsu_af" "ibge_code" "atu_inf" "atu_cre" "atu_pre" "atu_fun" "atu_ai" "atu_af" "tdi_fun" "tdi_ai" "tdi_af" "ideb_ai_2015" "ideb_af_2015" "area" "low_income_families2010" "poor_families2010" "transfers_fpm2016" "transfers_fundeb2016" "transfers_total2016" "partymayor" "partymayorpmdb" "partymayorpsdb" "partymayorpsd" "partymayorpp" "partymayorpsb" "partymayorpdt" "partymayorpt" "profprofessormayor" "lameduckmayor" "femalemayor" "nonwhitemayor" "agemayor" "avgpartycouncilorpmdb" "avgpartycouncilorpsdb" "avgpartycouncilorpsd" "avgpartycouncilorpp" "avgpartycouncilorpsb" "avgpartycouncilorpdt" "avgpartycouncilorpt" "avgprofprofessorcouncilor" "avgfemalecouncilor" "avgnonwhitecouncilor" "avgagecouncilor" "vtreataic_940_95" "vtreataic_944_52" "vtreataic_946_29" "vtreataic_944_15" "vtreataic_944_39" "vtreataic_942_13" "vtreataic_940_2" "vtreataic_942_67" "vtreataic_937_41" "vtreataic_941_05" "vtreataic_936_98" "vtreataic_942_44" "vtreataic_945_24" "vtreataic_938" "vtreataic_944_86" "vtreataic_945_14" "vtreataic_944_62" "vtreataic_945_47" "vtreataic_939_93"
"Ponte Serrada" "SC" 1 "Sul" 4213401 60.6 58.3 71.4 62.5 55.2 73.7 "421340" 14.6 12.9 17.8 17.8 16.9 19.1 14.7 8 23.2 5.4 4.9 564.01 988 531 7831449.14 5363887.03 3022590.88 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 53 0.333333333333333 0.111111111111111 0.111111111111111 0.333333333333333 0 0 0 0 0.222222222222222 0.222222222222222 35.7777777777778 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1
"Alto Longá" "PI" 1 "Nordeste" 2200301 46.7 0 53.8 74.8 52.2 84.8 "220030" 20.8 19 21.8 16.7 19.3 18.2 19.3 9.2 33.2 5 4.4 1621.35 2799 2237 9507252.74 7635470.82 4010649.05 "PSD" 0 0 1 0 0 0 0 0 0 0 0 50 0 0.111111111111111 0 0.222222222222222 0 0 0.111111111111111 0.111111111111111 0.222222222222222 0.555555555555556 39.4444444444444 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
"Lapão" "BA" 3 "Nordeste" 2919157 52.3 55 49 61.4 55.3 68.5 "291915" 15.5 13.9 16.8 23.4 21.7 26.6 19.4 9.3 30.8 4.7 4 638.32 5150 4291 16818313.17 19329733.46 8449069.77 "PSD" 0 0 1 0 0 0 0 0 0 0 1 48 0 0.0909090909090909 0.363636363636364 0.0909090909090909 0 0 0.0909090909090909 0 0.272727272727273 0.727272727272727 47 1 1 1 1 0 1 1 1 1 1 0 0 0 0 1 1 1 1 1
"Varginha" "MG" 1 "Sudeste" 3170701 59.9 31.3 93 99 98.5 100 "317070" 15.8 12.5 19.4 24.8 24 30 12.1 8.1 23.3 6.2 5.4 395.65 7382 3867 41763141.81 30802672.49 17627860.98 "PTB" 0 0 0 0 0 0 0 0 1 0 0 74 0.0666666666666667 0.133333333333333 0 0.133333333333333 0.0666666666666667 0 0 0.0666666666666667 0.0666666666666667 0.2 48.4 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1
"Américo Brasiliense" "SP" 1 "Sudeste" 3501707 88.7 87.5 89.4 96.6 96.1 98.2 "350170" 19 18.4 19.8 24.3 24.3 24.1 5.5 4.7 7.7 6.3 5.2 123.43 2352 1054 19817098.37 22322429.45 10848869.49 "PSDB" 0 1 0 0 0 0 0 0 0 0 0 55 0.0769230769230769 0.0769230769230769 0.0769230769230769 0 0 0 0.0769230769230769 0.0769230769230769 0.153846153846154 0.153846153846154 45.0769230769231 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Itinga do Maranhão" "MA" 2 "Nordeste" 2105427 33.8 40.7 34 56.2 51.5 58.9 "210542" 18.6 19.1 18.3 19 21.8 22.5 19.7 11.2 29 4.8 3.7 3590.03 4132 3176 13969626.58 22025302.06 9342877.68 "PSDB" 0 1 0 0 0 0 0 0 0 0 1 37 0 0.0909090909090909 0 0 0.181818181818182 0 0 0 0.181818181818182 0.818181818181818 42.6363636363636 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1
"Barro" "CE" 1 "Nordeste" 2302008 46 37.5 52.3 78.1 60.9 90.9 "230200" 16.7 17.1 16.4 19.6 18 22.7 20.9 14.5 28.3 5.3 4.1 709.66 4115 3247 14382662.37 11869458.8 6260455.71 "DEM" 0 0 0 0 0 0 0 0 0 0 0 61 0 0.0909090909090909 0.181818181818182 0 0 0.363636363636364 0 0.0909090909090909 0.181818181818182 0.727272727272727 48.4545454545455 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1
"Matões" "MA" 4 "Nordeste" 2106607 33.6 32.1 36.5 55.9 47.3 64.2 "210660" 16.9 17.8 16.3 23 24 24.5 34.1 22 50.8 3.7 3.4 1858.01 5733 4691 15965287.44 30667494.52 12405779.5 "PSB" 0 0 0 0 1 0 0 0 0 0 1 64 0 0.153846153846154 0 0 0.230769230769231 0.153846153846154 0 0.153846153846154 0.0769230769230769 0.615384615384615 46.6923076923077 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1
"Crissiumal" "RS" 2 "Sul" 4306007 84.6 85.7 86.4 83.5 79.6 91.7 "430600" 10.4 8.9 12.6 14.4 12.3 18.6 12 4.9 20.7 6.4 5.4 362.15 1059 604 10576773.04 5525689.81 3721331.26 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 46 0.333333333333333 0 0.222222222222222 0.111111111111111 0.111111111111111 0 0 0 0.333333333333333 0 48.4444444444444 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Itabira" "MG" 5 "Sudeste" 3131703 88.4 35 94.7 97.6 96.8 100 "313170" 15.7 15 15.8 20.1 19.6 22.4 8.7 4.6 24.5 6.1 4.8 1256.5 9269 5268 39442967.28 31902219.01 34569453.98 "PTB" 0 0 0 0 0 0 0 0 0 0 0 65 0.0588235294117647 0 0 0.0588235294117647 0.0588235294117647 0.0588235294117647 0 0 0 0.647058823529412 39.8823529411765 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1
"Igarapava" "SP" 1 "Sudeste" 3520103 83.8 79.5 87.8 98.2 97.1 100 "352010" 16.6 15.9 17.2 26.9 23.9 31.6 10.1 6.3 14.7 5.9 4.3 467.11 2027 816 15413298.84 14608906.89 8013424.85 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 42 0.0909090909090909 0.0909090909090909 0.181818181818182 0.0909090909090909 0 0.0909090909090909 0 0.0909090909090909 0.181818181818182 0.272727272727273 48.7272727272727 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 1
"Parnamirim" "RN" 3 "Nordeste" 2403251 92.4 95.2 90.8 95.3 92.9 97.4 "240325" 19.9 19.2 20.5 27.4 25.1 31.1 30.1 16.6 46.5 4.6 3.5 120.2 19467 12603 73220660.78 79749277.62 35257121.9 "PRB" 0 0 0 0 0 0 0 0 0 0 1 59 0.0555555555555556 0.111111111111111 0.0555555555555556 0 0 0.0555555555555556 0 0.0555555555555556 0.277777777777778 0.388888888888889 42.7777777777778 1 0 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0
"Bauru" "SP" 3 "Sudeste" 3506003 90.5 90.2 90.5 96.7 96.6 97.8 "350600" 16.7 14.1 19.8 26.3 26.2 26.5 5.7 4.3 12.9 5.9 4.8 673.49 17891 9926 54595012.11 84855975.94 37253142.03 "PSD" 0 0 1 0 0 0 0 0 0 0 0 48 0.0588235294117647 0 0.0588235294117647 0.117647058823529 0.0588235294117647 0.117647058823529 0 0 0.176470588235294 0.0588235294117647 46.7058823529412 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1
"Matões do Norte" "MA" 5 "Nordeste" 2106631 55.3 70 50 56.6 56.7 55.6 "210663" 19.4 19.9 18.9 19.9 15.2 22.9 30.8 20.8 50.2 4.5 3.7 781.96 2227 2079 9978304.83 14853210.11 6373229.86 "PSB" 0 0 0 0 1 0 0 0 0 0 0 49 0 0.111111111111111 0 0.111111111111111 0 0.111111111111111 0.111111111111111 0.111111111111111 0 1 47.3333333333333 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 0
"Araripina" "PE" 8 "Nordeste" 2601102 78.9 82.1 77.9 78.1 77.7 80 "260110" 21 18.6 21.6 22.5 21.7 26.5 25.4 19 48.8 4.2 3.4 1847.47 13570 10630 33878586.2 41747250.43 17751045.75 "PSL" 0 0 0 0 0 0 0 0 0 0 0 52 0.133333333333333 0 0 0 0.133333333333333 0.0666666666666667 0 0 0.0666666666666667 0.466666666666667 44.0666666666667 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Utinga" "BA" 1 "Nordeste" 2932804 91.4 93.8 89.5 92.3 88.7 94 "293280" 18.2 18.1 18.3 22.2 18.9 27.6 24.8 13.9 37 4.4 3.4 717.34 3459 2695 14415697.06 11336762.87 5956296.54 "PSL" 0 0 0 0 0 0 0 0 0 0 1 53 0 0.272727272727273 0.272727272727273 0 0 0 0 0.181818181818182 0 1 46.6363636363636 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 0 1 1
"São Luís de Montes Belos" "GO" 1 "Centro-Oeste" 5220108 94.7 95.7 93.3 100 100 100 "522010" 18 17.5 18.5 25 25.8 30 7.4 5.6 19.2 6.2 5.2 826.19 2670 1370 17020923.68 9486085.7 6242377.54 "PDT" 0 0 0 0 0 1 0 0 0 0 1 49 0.0769230769230769 0.230769230769231 0.0769230769230769 0.0769230769230769 0 0.0769230769230769 0 0 0.230769230769231 0.461538461538462 48.9230769230769 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1
"Olivença" "AL" 2 "Nordeste" 2706000 47.6 37.5 53.8 62.1 58.3 65.5 "270600" 21.5 21.8 21.3 26.9 22.2 34.8 40.5 27.7 55.6 3.4 2.4 172.96 2093 1764 9758528.36 9772791.38 4641824.12 "PSD" 0 0 1 0 0 0 0 0 0 0 1 54 0.222222222222222 0 0.111111111111111 0 0 0 0 0 0.222222222222222 0.888888888888889 47.4444444444444 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 1 1
"Capitão Poço" "PA" 6 "Norte" 1502301 34.6 32.4 35.2 58.4 54.4 62.9 "150230" 16 16.2 15.9 17.5 18.6 21.6 34.7 26.5 51.3 3.8 3.5 2899.53 9802 8137 20360515.99 28154152.53 12369163.63 "PR" 0 0 0 0 0 0 0 0 0 0 1 46 0 0.0666666666666667 0.133333333333333 0 0 0.2 0 0.0666666666666667 0.2 0.933333333333333 43.8666666666667 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1
"Silva Jardim" "RJ" 1 "Sudeste" 3305604 50 51.2 51 71.9 45.1 93.2 "330560" 15.5 14.2 16.4 20.2 19.2 23.3 32.4 23.4 45.3 5 3.4 938.34 3061 2170 11716891.25 13964054.02 18033931.17 "PMDB" 1 0 0 0 0 0 0 0 1 0 0 43 0.222222222222222 0 0 0.111111111111111 0 0 0 0 0.222222222222222 0.444444444444444 46.3333333333333 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1
"Maturéia" "PB" 1 "Nordeste" 2509396 57.9 66.7 53.8 78.2 64.3 92.6 "250939" 19.2 19.7 19 26.8 24.3 34.6 28.1 18.1 39.4 4.4 3.4 83.71 1157 932 6884603.08 5336828.7 2799652.39 "PDT" 0 0 0 0 0 1 0 0 0 0 1 52 0 0.111111111111111 0.222222222222222 0 0.333333333333333 0.222222222222222 0 0 0 0.888888888888889 37.1111111111111 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"José Bonifácio" "SP" 1 "Sudeste" 3525706 75.7 56.1 100 99 98.6 100 "352570" 20.7 18.5 22.1 24.1 24.2 24.3 6.6 5.2 9 6 4.8 858.64 1552 773 17615198.69 10424705.3 7033790.92 "PSD" 0 0 1 0 0 0 0 0 0 0 0 61 0.111111111111111 0 0.222222222222222 0 0.222222222222222 0.111111111111111 0 0 0 0 51.4444444444444 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1
"Ibirapitanga" "BA" 1 "Nordeste" 2912707 67.4 62.5 70.4 69.5 67.2 72.7 "291270" 21.8 21.4 22.1 24 23.8 29.2 40.7 31.3 53.9 4.4 2.9 470.26 4093 3222 16818313.17 23164560.33 9428935.62 "PSD" 0 0 1 0 0 0 0 0 0 0 0 48 0.2 0 0.2 0.1 0 0 0 0 0.3 0.8 44.6 1 0 1 0 1 1 1 0 1 0 0 0 0 1 1 1 1 1 1
"Terra de Areia" "RS" 1 "Sul" 4321436 85 100 82.4 87.3 79.1 97.3 "432143" 15.4 15.6 15.2 15.7 13.5 20 31.2 21.5 43.9 4.8 2.6 147.72 934 562 8461418.48 6324974.37 3457342.14 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 42 0.555555555555556 0 0 0.444444444444444 0 0 0 0 0 0 37.6666666666667 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1
"Malhador" "SE" 2 "Nordeste" 2803906 66.7 100 65 91.9 89.5 93.8 "280390" 18.2 20 18 20.5 20.9 22.1 39.4 24.8 62.5 4 2.6 100.94 2118 1603 8900194.8 6726023.57 3529874.81 "PSB" 0 0 0 0 1 0 0 0 0 1 1 36 0.111111111111111 0.111111111111111 0.111111111111111 0 0.222222222222222 0 0 0 0.222222222222222 1 43.7777777777778 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Itatiaia" "RJ" 1 "Sudeste" 3302254 47.9 42.9 52.6 78.8 60.2 96.4 "330225" 18 16.3 19.3 22.5 21.4 24.8 31.9 24.9 43.5 5.4 4.3 224.96 2624 1448 13669706.45 16568021.45 10391484.98 "PMDB" 1 0 0 0 0 0 0 0 0 0 1 38 0.454545454545455 0 0.181818181818182 0.0909090909090909 0.0909090909090909 0 0 0 0.0909090909090909 0.272727272727273 42 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1
"Trindade" "GO" 3 "Centro-Oeste" 5221403 84.7 82.4 86 88.7 91 75.8 "522140" 22.5 24.5 21.6 26.3 25.6 32.6 10.3 7.8 27.1 5.5 4.5 713.28 10384 6071 36169462.58 30628314.93 15567517.34 "PSDB" 0 1 0 0 0 0 0 0 0 0 0 60 0.117647058823529 0.0588235294117647 0.0588235294117647 0.117647058823529 0 0.117647058823529 0 0.0588235294117647 0.176470588235294 0.470588235294118 43.1764705882353 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1
"Lontra" "MG" 2 "Sudeste" 3138658 76.9 78.6 76.9 80 72.4 81.3 "313865" 17.1 17.2 17.1 19.8 21.6 20.1 6.7 1.2 15.8 5.5 4.4 257.22 1516 1118 6960523.89 3459616.04 2459960.33 "SD" 0 0 0 0 0 0 0 0 0 0 0 40 0.222222222222222 0 0.111111111111111 0.222222222222222 0 0 0.111111111111111 0.111111111111111 0 0.222222222222222 41.2222222222222 1 1 1 1 1 0 1 0 0 1 0 0 1 1 1 1 0 1 1
"Congonhas" "MG" 2 "Sudeste" 3118007 95 97.7 93.6 94.5 91.5 98.6 "311800" 15.5 14.8 15.7 18.6 17.2 20.6 14.2 7.3 22.7 6.5 5.3 305.58 3753 2133 25521920.17 23621927.16 31058819.45 "PSDB" 0 1 0 0 0 0 0 0 0 0 0 65 0 0.153846153846154 0.0769230769230769 0 0 0 0 0 0.153846153846154 0.538461538461538 45.2307692307692 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0
"Chorozinho" "CE" 1 "Nordeste" 2303956 51 46.7 51.5 70.4 61.4 80.6 "230395" 18.8 17.9 19.5 24.5 22.8 26.5 29.7 15.6 44.6 5.5 4.2 278.4 3589 2862 14382662.37 15280789.06 7155491.5 "PSD" 0 0 1 0 0 0 0 0 0 0 1 37 0.181818181818182 0 0.272727272727273 0.0909090909090909 0 0 0 0 0.181818181818182 1 42.6363636363636 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0
"Macaúbas" "BA" 1 "Nordeste" 2919801 61.2 63.1 57.7 58.5 60.6 59 "291980" 14.9 14.5 15.2 15.3 18 15.5 26.5 14.4 39.4 5.5 4.4 3039.27 8055 6582 24026161.55 25723854.44 11616175.13 "PT" 0 0 0 0 0 0 1 0 0 0 0 51 0.133333333333333 0 0.133333333333333 0 0.133333333333333 0 0.2 0.0666666666666667 0.0666666666666667 0.666666666666667 42.4666666666667 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1
"Remanso" "BA" 1 "Nordeste" 2926004 12.6 14 11.5 31.4 19 41.7 "292600" 14 14 14 19.2 19.2 26.4 39.6 32.5 50.6 4.2 3.7 4693.51 7026 5647 21623545.42 28228459.49 12626299.78 "PSD" 0 0 1 0 0 0 0 0 0 0 1 66 0 0.0769230769230769 0.230769230769231 0.0769230769230769 0 0 0.153846153846154 0 0.0769230769230769 0.923076923076923 47.8461538461538 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1
"Taquari" "RS" 2 "Sul" 4321303 67.1 69.6 65 87.5 80 93.2 "432130" 15.9 17 14.9 15.8 14.9 17.7 22.5 11.8 35.6 5.1 3.8 349.97 2309 1301 14807482.11 8154184.7 5321361.85 "PT" 0 0 0 0 0 0 1 0 0 0 0 36 0 0.333333333333333 0 0.111111111111111 0 0.333333333333333 0.222222222222222 0.111111111111111 0.111111111111111 0 47.2222222222222 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1
"Pedro Leopoldo" "MG" 1 "Sudeste" 3149309 47.9 14.4 77.5 88.8 83.6 94.9 "314930" 18.8 12 23.1 24.9 23.2 27.9 13.5 3 26.8 5.8 4.6 291.04 4350 2348 27842094.61 21333469.39 12200594.73 "PSD" 0 0 1 0 0 0 0 0 0 0 0 39 0.3 0.1 0.2 0.1 0.1 0.1 0 0.1 0 0.9 46.2 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1
"Saloá" "PE" 2 "Nordeste" 2612307 31.7 28.6 35 59.8 49.1 69.6 "261230" 19.4 22.1 18.3 26.1 23.6 32.9 31.2 22 42.6 4 3.2 252.08 2968 2406 12099495.28 12242305.6 5651735.34 "PMDB" 1 0 0 0 0 0 0 0 0 0 1 48 0.454545454545455 0.0909090909090909 0 0.0909090909090909 0.0909090909090909 0 0 0.0909090909090909 0.0909090909090909 0.727272727272727 42.8181818181818 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Igrapiúna" "BA" 2 "Nordeste" 2913457 54.5 60 52.9 38.3 27 43.6 "291345" 16.9 18.6 16.3 20.5 22.1 26.3 34.3 22.5 49.1 4.4 3.6 512.84 2405 1977 12013080.94 14228136.27 6154281.51 "PSB" 0 0 0 0 1 0 0 0 1 0 1 39 0.111111111111111 0 0 0.111111111111111 0.222222222222222 0.111111111111111 0.111111111111111 0 0.222222222222222 0.888888888888889 43.5555555555556 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1
"Buriti Bravo" "MA" 7 "Nordeste" 2102309 16.7 14.3 18.2 39.3 23.9 45.2 "210230" 15.7 14 17 18.4 23.5 21.1 14.9 8.3 22.7 5.1 4 1582.53 4131 3367 11973965.71 19221491.95 8071473.59 "PTB" 0 0 0 0 0 0 0 0 1 0 1 42 0 0 0.181818181818182 0 0 0.181818181818182 0 0.181818181818182 0.0909090909090909 0.636363636363636 42.6363636363636 1 1 0 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1
"Guaiúba" "CE" 2 "Nordeste" 2304954 43.1 32.4 50 68.6 67.8 69.6 "230495" 20.4 21.8 19.6 23.6 22.3 27.2 20.7 12.8 30.7 4.8 3.9 267.2 4560 3606 16779772.6 17891851.17 8339356.23 "PR" 0 0 0 0 0 0 0 0 0 0 0 48 0 0.181818181818182 0 0 0 0 0 0.0909090909090909 0.272727272727273 0.818181818181818 45.6363636363636 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1
"Vila Flores" "RS" 1 "Sul" 4323309 75 80 75 88.5 88.9 85.7 "432330" 12.4 10.2 15.3 16.4 13.6 20.4 16.8 8.8 24.5 6 4.7 107.82 121 53 6346063.96 1604371.13 1807118.29 "DEM" 0 0 0 0 0 0 0 0 0 0 0 59 0.444444444444444 0 0 0.111111111111111 0.111111111111111 0.111111111111111 0 0 0.222222222222222 0 40.7777777777778 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Ubatã" "BA" 1 "Nordeste" 2932309 47.2 52.9 42.1 45.3 37.9 64.5 "293230" 17.6 18.2 17.3 19.5 19.4 20.2 30 26.2 55.9 4 2.3 332.99 4240 3241 16818313.17 11060941.77 6414840.65 "PSL" 0 0 0 0 0 0 0 0 1 1 1 31 0 0.0909090909090909 0 0 0 0 0.0909090909090909 0 0 0.818181818181818 39.5454545454545 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1
"São Pedro do Piauí" "PI" 1 "Nordeste" 2210508 46.3 35.7 46.9 77.1 71.6 86 "221050" 17.2 17.8 16.9 22.8 26.2 21.3 35.4 29.1 48.6 3.9 3.4 525.72 2531 2069 9507252.74 8449804.83 4226004.4 "PSDB" 0 1 0 0 0 0 0 0 0 0 0 35 0.111111111111111 0 0.111111111111111 0.222222222222222 0.111111111111111 0.111111111111111 0 0 0.444444444444444 0.777777777777778 43.3333333333333 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1
"Simão Dias" "SE" 1 "Nordeste" 2807105 53.3 50 57.4 84.5 73.3 93.4 "280710" 22.2 25.5 20 21.8 19.7 27.6 42.1 32.4 55.2 3.7 3.3 559.62 7242 5222 20025438 20375376.86 9172254.45 "PSC" 0 0 0 0 0 0 0 0 1 0 1 46 0.153846153846154 0 0.0769230769230769 0.0769230769230769 0.153846153846154 0.0769230769230769 0 0.153846153846154 0.0769230769230769 0.538461538461538 45 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Afrânio" "PE" 5 "Nordeste" 2600203 43.5 66.7 40 60.5 38.7 76.5 "260020" 19 15.3 19.7 21.8 20.4 25.2 19 9.6 30.8 4.6 3.5 1490.62 3268 2710 14519394.27 12529152.14 6256667.29 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 29 0.272727272727273 0 0 0 0.181818181818182 0 0 0.0909090909090909 0.272727272727273 0.454545454545455 48.3636363636364 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1
"Icó" "CE" 2 "Nordeste" 2305407 53.4 46.7 55.6 60 58 61.7 "230540" 19 18.1 19.3 20.3 20.1 23.5 24 12.2 37.6 4.6 3.6 1871.98 12222 9744 28765324.3 44241339.8 17891918.72 "PMB" 0 0 0 0 0 0 0 0 0 1 0 28 0 0.0666666666666667 0.133333333333333 0 0 0.133333333333333 0 0 0.0666666666666667 0.6 44.3333333333333 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
"Capela" "SE" 1 "Nordeste" 2801306 41.5 33.3 43.2 77 72.9 80.6 "280130" 20.3 20 20.3 22.5 21.6 24.9 38.1 29.4 53.8 3.8 2.8 440.72 5277 4240 17800389.4 20525108 10036025.14 "PTN" 0 0 0 0 0 0 0 0 0 1 0 37 0 0 0 0 0.0769230769230769 0.0769230769230769 0.0769230769230769 0.0769230769230769 0.230769230769231 0.846153846153846 38.5384615384615 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0
"Betim" "MG" 2 "Sudeste" 3106705 24 26.2 20.7 92.9 88.1 99 "310670" 17.2 17.4 17 26.5 24.8 29.2 10.6 6.9 15.7 5.9 5.1 345.91 33647 18888 64501232.22 178219797.75 64366399.48 "PHS" 0 0 0 0 0 0 0 0 0 0 0 65 0.0869565217391304 0 0.0434782608695652 0.0869565217391304 0 0.130434782608696 0.0434782608695652 0 0.130434782608696 0.608695652173913 41.4782608695652 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1
"Amarante" "PI" 1 "Nordeste" 2200509 59.6 57.1 60 79.9 80.8 76.5 "220050" 14.7 15.2 14.6 17 17.9 18 30.8 25 47.3 3.6 2.7 1304.78 3036 2405 11408703.14 9560013.21 4896817.59 "PP" 0 0 0 1 0 0 0 0 0 0 0 31 0.0909090909090909 0.0909090909090909 0.272727272727273 0.0909090909090909 0 0.0909090909090909 0.181818181818182 0.0909090909090909 0.0909090909090909 0.545454545454545 38.3636363636364 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
"Bom Jesus das Selvas" "MA" 1 "Nordeste" 2102036 25.5 12.1 31.4 42.8 32.7 50 "210203" 22.3 18.3 23.9 23 25.9 28.5 21.8 13.4 32.8 3.8 3.3 2679.42 4990 4303 15965287.44 27147105.56 11186875.75 "PC do B" 0 0 0 0 0 0 0 0 0 0 1 39 0 0 0 0 0.153846153846154 0 0 0.0769230769230769 0.153846153846154 0.846153846153846 37.3076923076923 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1
"São Gabriel da Cachoeira" "AM" 41 "Norte" 1303809 52.9 60 50.8 32.5 32.2 33.9 "130380" 19 20.5 18.7 14.1 23.1 17.3 35.2 23.3 54.8 3.6 3.5 109184.9 5601 4897 17491559.77 30565394.03 11453483.75 "PT" 0 0 0 0 0 0 1 0 0 0 1 43 0 0 0 0 0 0 0.153846153846154 0.230769230769231 0.153846153846154 0.923076923076923 40.1538461538462 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Presidente Jânio Quadros" "BA" 1 "Nordeste" 2925709 44.4 60 38.5 50.3 43.9 58.5 "292570" 20.9 21.2 20.8 18.5 18.5 23.5 36.3 26.3 48.3 4.3 3.2 1327.38 2645 2239 10835710.7 8802061.1 4284022.31 "PSD" 0 0 1 0 0 0 0 0 1 0 0 37 0 0 0.111111111111111 0 0.222222222222222 0.111111111111111 0.111111111111111 0 0.111111111111111 0.666666666666667 45.7777777777778 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1
"Marcos Parente" "PI" 1 "Nordeste" 2206001 36.4 0 50 77.3 76.3 82.6 "220600" 21.1 27 19.4 23.9 23.5 24.8 32.1 26.9 43 4.2 2.8 775.77 758 582 5704351.74 3781043.73 2207136.38 "PT" 0 0 0 0 0 0 1 0 0 0 1 69 0.222222222222222 0.111111111111111 0.111111111111111 0 0 0 0.111111111111111 0.333333333333333 0.222222222222222 1 37.7777777777778 0 1 1 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1
"Regeneração" "PI" 1 "Nordeste" 2208809 62.5 57.1 64 67.8 62.5 79.4 "220880" 18.6 16.7 19.1 19.1 19.3 19.5 29.6 24 41.5 3.9 3.3 1257.16 3264 2620 11408703.14 9483608.61 4911499.03 "PR" 0 0 0 0 0 0 0 0 0 0 0 51 0.181818181818182 0.0909090909090909 0.181818181818182 0.181818181818182 0 0 0.0909090909090909 0 0.181818181818182 0.545454545454545 42 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1
